2024-2025 Dual Enrollment Course-High School Subject Area Equivalency List,
This list should not be interpreted as a complete list of the dual enrollment courses available. Current law allows for any course in the Statewide Course,
"Numbering System (SCNS) to be offered as dual enrollment, with the exception of remedial courses and Physical Education skills-based courses. Physical",
Education courses that can be offered for dual enrollment are limited to those that satisfy the personal fitness requirement. Three credit (or equivalent),
Course titles listed are the titles as found in the SCNS; individual postsecondary institutions may utilize alternative course titles.,
"Courses indicated as Postsecondary General Education Core Subject Area courses (GE Core), may also be applied to the General Education Core",
requirements for an undergraduate degree from a public postsecondary institution in Florida. Students should check with their postsecondary institution,
English,
Courses under the English discipline,"shall be considered English coursework for the purposes of high school graduation requirements. Courses with AML,"
"ENC, ENL and LIT prefixes that require ENC X101 as a prerequisite as identified in the SCNS shall award 1.0 high school English credit. Other courses",
World Languages,
"All four-credit world language courses, including American Sign Language, shall be awarded one full high school elective credit. Courses offered for three",
Mathematics,
Courses listed in this section shall be considered Mathematics coursework for the purposes of high school graduation requirements.,
Performing/ Fine Arts/ Speech and Debate/Career and Technical Education,
Courses listed in this section shall be considered Performing/Fine Arts/Speech and Debate/Career and Technical Education coursework for the purposes,
of high school graduation requirements. For those career and technical secondary courses that have been identified as satisfying the fine or performing,
Physical Education: Personal Fitness,
These courses only satisfy the personal fitness requirement; students must still complete another 0.5 credit physical education elective course to,
"complete the 1.0 physical education graduation requirement. Courses within the PEL, PEM, PEN, PEO and PEQ prefixes should be evaluated for",
Science,
High School Graduation Requirement in Science for Students Entering Grade Nine in 2014-15 or later:,
"3 credits in Science, one of which must be Biology I (BI), two of which must be equally rigorous (EQ) science courses and two must have a laboratory",
All dual enrollment science courses should satisfy the equally rigorous requirement; certain courses identified on this list will satisfy the Biology I high
school graduation credit. Dual enrollment science courses taken with a corresponding laboratory course will be awarded 1.0 high school science credit.
Dual enrollment science courses taken without a laboratory component will be awarded 0.5 high school science credits. Separate lecture and lab courses
may not be combined or the grades averaged for secondary transcript purposes. The lecture and lab courses must be listed separately on the student's
"Biology I: Dual enrollment courses in general biology identified on this list will meet the Biology I high school graduation requirement. However, courses"
"that are a lecture-only format, and are not taken with a corresponding laboratory course, are designated as Equally Rigorous and will be awarded 0.5"
"high school credit. *A district-determined (DD) subject area graduation code was implemented in SY 2018-19 and thereafter, which has been applied to"
Note: Two lecture-only format courses with similar numbers to those designated as Biology may satisfy the Biology I graduation requirement; students
End of Course Assessment: Students who complete their Biology I requirement through dual enrollment are not required to take the Biology I End-of-
"Course Assessment (EOC). However, students who choose to pursue the “Scholar” diploma designation must complete the Biology I EOC. The EOC will"
be used for the diploma designation only. The content in the sequence BSC X010 and BSC X011 or BSC X007 and BSC X008 are comparable to the
Social Studies
Course listed in this section shall be considered the specific Social Studies coursework for the purposes of high school graduation requirements as
United States History: Faculty reviewers have determined that the content in the AMH X010 and AMH X020 sequence is comparable to the standards
for United States History and may be used for preparation for the End-of-Course (EOC) assessment. All other AMH courses should be reviewed by the
Electives
Elective courses have been identified as high enrollment courses and are provided to assist in determining appropriate high school subject area credit.
This section should not be considered a complete list of courses that may be used for elective credit toward high school graduation requirements.
,,2024-2025 Academic Dual Enrollment - High School Dubject Area Equivalency List,,,,
Course Prefix,Course Number,Course Title,H.S. Credit,H.S. Grad Code,GE Core Subject Area,Discipline
ACG,X001,Principles of Accounting I,0.5,EL,,Electives
ACG,X021,Accounting Prin-(Condensed)(3 Credits),0.5,EL,,Electives
AMH,X010,Introductory Survey to 1877 (GE Core),0.5,AH,Social Sciences,Social Studies
AMH,X020,Introductory Survey Since 1877 (GE Core),0.5,AH,Social Sciences,Social Studies
AMH,X041,Survey of the American Experience I,0.5,AH,,Social Studies
AMH,X042,Survey of Social and Cult Hist Since 1865,0.5,AH,,Social Studies
AMH,X541,U.S. Military History to 1900,0.5,EL,,Electives
AML,X010,Colonial to The Civil War/Reconstruction,1,EN,,English
AML,X011,Colonial to 1875,1,EN,,English
AML,X020,Civil War to Present,1,EN,,English
AML,X021,1875 to Present,1,EN,,English
AML,X050,Contemporary American Literature,1,EN,,English
AML,X060,Contemporary American Literature,1,EN,,English
AML,X070,Survey of American Literature,0.5,EN,,English
AML,X301,Studies in Individual American Authors,1,EN,,English
AML,X410,Issues in American Literature and Culture,0.5,EN,,English
AML,X600,Introduction to African American Literature,0.5,EN,,English
AMT,X765,Aviation Maintenance Airframe Technician 1,3,CT,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ANT,X000,Introduction to Anthropology (GE Core),0.5,EL,Social Sciences,Electives
ARA,X120,Modern Arabic I,1,EL,,World Languages
ARA,X121,Elementary Arabic II Concentrated,1,EL,,World Languages
ARA,X130,Elementary Arabic Accelerated I,1,EL,,World Languages
ARA,X131,Elementary Arabic Accelerated II,1,EL,,World Languages
ARA,X200,Intm Lang: Gen Rev Basic Skills I,0.5,EL,,World Languages
ARA,X201,Intm Lang: Gen Rev Basic Skills II,0.5,EL,,World Languages
ARA,X220,Intermediate Arabic I,1,EL,,World Languages
ARA,X221,Intermediate Arabic Reading and Conversation II,1,EL,,World Languages
ARC,X301,Design I,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ARC,X701,Survey of Architectural Development,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ARC,X702,Survey of Arch Development (Cont.),0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ARH,X000,Art Appreciation (GE Core),0.5,PF,Humanities,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ARH,X002,The Artistic Experience,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ARH,X050,Introduction to Art History I,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ARH,X051,Introduction to Art History II,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ARH,X060,The History of Architecture,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ARH,X500,Introduction to Non-Western Art,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
ART,X001,Intro. to Studio Art for Nonmajors,0.5,PF,,Performing/Fine Arts/Speech and Debate/Career and Technical Education
